Date,Sector,Province,Project Number,Name,Amount
2023-04-21T00:00:00Z,UNSPECIFIED,NC,M52306,Progressive Arts Network,232473.0
2023-04-21T00:00:00Z,UNSPECIFIED,NC,M48984,Amathemba Health & Welfare Society,419960.0
2023-04-21T00:00:00Z,UNSPECIFIED,NC,M52908,Guardian Angel Nursery School,296000.0
2023-04-21T00:00:00Z,UNSPECIFIED,WC,M50829,The Craft and Design Institute,611620.0
2023-04-21T00:00:00Z,UNSPECIFIED,WC,M48366,Operation Blessing Foundation,328000.0
2023-04-21T00:00:00Z,UNSPECIFIED,WC,M50683,Black Sash Trust,647400.0
2023-04-21T00:00:00Z,UNSPECIFIED,WC,M51443,Khulani Educare Centre,494018.0
2023-04-21T00:00:00Z,UNSPECIFIED,NW,M39800,Mafikeng SPCA,100000.0
2023-04-21T00:00:00Z,UNSPECIFIED,NW,M46882,Zenzele Service Club,292200.0
2023-04-21T00:00:00Z,UNSPECIFIED,WC,M53608,South Western District Cricket,550000.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M53258,Info Age Creations,375822.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M47901,Major 1 Films,251500.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M54007,Sedilatsebo Woman & Youth Development,269000.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M53760,Tsoseletso Ya Sechaba,354604.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M53833,Thabong Chorus Choir,322650.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M47803,Ipopeng Day Care Centre,270000.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M47304,Tsoha Obe Matla,349841.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M47687,Free State Wombman and Theatre,939900.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M48503,Mamello Community Creche,381025.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M53836,Lengau Choral Music Association,338000.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M52247,Thotagauta Secondary School,63000.0
2023-04-21T00:00:00Z,UNSPECIFIED,FS,M48017,Nkgopoleng Educare center,324499.0
2023-04-21T00:00:00Z,UNSPECIFIED,GP,M52097,Imfundiso Skills Development NPC,538000.0
